"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-01",101.5427,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-02",101.2864,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-03",101.0649,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-04",100.9428,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-05",100.9736,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-06",101.0609,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-07",101.0794,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-08",100.9399,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-09",100.7237,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-10",100.5442,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-11",100.486,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-12",100.507,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-01",100.5553,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-02",100.6068,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-03",100.6753,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-04",100.7964,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-05",100.9942,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-06",101.1949,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-07",101.2912,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-08",101.2033,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-09",101.0437,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-10",100.9637,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-11",101.0701,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-12",101.2637,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-01",101.402,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-02",101.3748,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-03",101.2364,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-04",101.0559,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-05",100.8808,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-06",100.7412,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-07",100.6764,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-08",100.7264,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-09",100.8481,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-10",100.9981,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-11",101.1437,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-12",101.246,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-01",101.247,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-02",101.0999,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-03",100.9011,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-04",100.7755,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-05",100.8137,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-06",100.9359,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-07",101.037,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-08",101.0485,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-09",101.0206,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-10",101.0328,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-11",101.1434,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-12",101.2994,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-01",101.4253,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-02",101.4656,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-03",101.4587,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-04",101.4576,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-05",101.4971,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-06",101.5567,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-07",101.6022,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-08",101.6091,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-09",101.5982,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-10",101.6019,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-11",101.648,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-12",101.7278,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-01",101.8327,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-02",101.9566,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-03",102.0722,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-04",102.1405,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-05",102.1281,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-06",102.0711,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-07",102.0101,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-08",101.9684,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-09",101.9354,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-10",101.8885,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-11",101.8066,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-12",101.6975,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-01",101.5667,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-02",101.4129,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-03",101.2456,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-04",101.0713,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-05",100.8926,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-06",100.7144,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-07",100.5473,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-08",100.4094,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-09",100.318,
