"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",100.5373,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",100.5251,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",100.4258,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.2592,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.1609,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.1838,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",100.3062,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",100.4081,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",100.5136,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",100.5979,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",100.4816,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.1105,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.58149,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.33086,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.38857,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.62891,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",99.80373,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",99.84865,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",99.79926,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",99.74619,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",99.70239,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.65614,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.61491,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.56053,
