"","Time","YearMonth","Value"
"1",1,"1960-01",101.5427
"2",2,"1960-02",101.2864
"3",3,"1960-03",101.0649
"4",4,"1960-04",100.9428
"5",5,"1960-05",100.9736
"6",6,"1960-06",101.0609
"7",7,"1960-07",101.0794
"8",8,"1960-08",100.9399
"9",9,"1960-09",100.7237
"10",10,"1960-10",100.5442
"11",11,"1960-11",100.486
"12",12,"1960-12",100.507
"13",13,"1961-01",100.5553
"14",14,"1961-02",100.6068
"15",15,"1961-03",100.6753
"16",16,"1961-04",100.7964
"17",17,"1961-05",100.9942
"18",18,"1961-06",101.1949
"19",19,"1961-07",101.2912
"20",20,"1961-08",101.2033
"21",21,"1961-09",101.0437
"22",22,"1961-10",100.9637
"23",23,"1961-11",101.0701
"24",24,"1961-12",101.2637
"25",25,"1962-01",101.402
"26",26,"1962-02",101.3748
"27",27,"1962-03",101.2364
"28",28,"1962-04",101.0559
"29",29,"1962-05",100.8808
"30",30,"1962-06",100.7412
"31",31,"1962-07",100.6764
"32",32,"1962-08",100.7264
"33",33,"1962-09",100.8481
"34",34,"1962-10",100.9981
"35",35,"1962-11",101.1437
"36",36,"1962-12",101.246
"37",37,"1963-01",101.247
"38",38,"1963-02",101.0999
"39",39,"1963-03",100.9011
"40",40,"1963-04",100.7755
"41",41,"1963-05",100.8137
"42",42,"1963-06",100.9359
"43",43,"1963-07",101.037
"44",44,"1963-08",101.0485
"45",45,"1963-09",101.0206
"46",46,"1963-10",101.0328
"47",47,"1963-11",101.1434
"48",48,"1963-12",101.2994
"49",49,"1964-01",101.4253
"50",50,"1964-02",101.4656
"51",51,"1964-03",101.4587
"52",52,"1964-04",101.4576
"53",53,"1964-05",101.4971
"54",54,"1964-06",101.5567
"55",55,"1964-07",101.6022
"56",56,"1964-08",101.6091
"57",57,"1964-09",101.5982
"58",58,"1964-10",101.6019
"59",59,"1964-11",101.648
"60",60,"1964-12",101.7278
"61",61,"1965-01",101.8327
"62",62,"1965-02",101.9566
"63",63,"1965-03",102.0722
"64",64,"1965-04",102.1405
"65",65,"1965-05",102.1281
"66",66,"1965-06",102.0711
"67",67,"1965-07",102.0101
"68",68,"1965-08",101.9684
"69",69,"1965-09",101.9354
"70",70,"1965-10",101.8885
"71",71,"1965-11",101.8066
"72",72,"1965-12",101.6975
"73",73,"1966-01",101.5667
"74",74,"1966-02",101.4129
"75",75,"1966-03",101.2456
"76",76,"1966-04",101.0713
"77",77,"1966-05",100.8926
"78",78,"1966-06",100.7144
"79",79,"1966-07",100.5473
"80",80,"1966-08",100.4094
"81",81,"1966-09",100.318
"82",82,"1966-10",100.3145
"83",83,"1966-11",100.4419
"84",84,"1966-12",100.6356
"85",85,"1967-01",100.8222
"86",86,"1967-02",100.9527
"87",87,"1967-03",101.042
"88",88,"1967-04",101.1089
"89",89,"1967-05",101.1571
"90",90,"1967-06",101.1785
"91",91,"1967-07",101.148
"92",92,"1967-08",101.0453
"93",93,"1967-09",100.9282
"94",94,"1967-10",100.8751
"95",95,"1967-11",100.942
"96",96,"1967-12",101.0555
"97",97,"1968-01",101.1141
"98",98,"1968-02",101.0419
"99",99,"1968-03",100.8989
"100",100,"1968-04",100.7649
"101",101,"1968-05",100.6954
"102",102,"1968-06",100.6682
"103",103,"1968-07",100.6527
"104",104,"1968-08",100.6372
"105",105,"1968-09",100.6443
"106",106,"1968-10",100.7194
"107",107,"1968-11",100.8959
"108",108,"1968-12",101.0928
"109",109,"1969-01",101.1922
"110",110,"1969-02",101.0959
"111",111,"1969-03",100.8807
"112",112,"1969-04",100.6321
"113",113,"1969-05",100.3984
"114",114,"1969-06",100.1773
"115",115,"1969-07",99.95055
"116",116,"1969-08",99.70602
"117",117,"1969-09",99.46494
"118",118,"1969-10",99.26488
"119",119,"1969-11",99.13913
"120",120,"1969-12",99.05505
"121",121,"1970-01",98.97736
"122",122,"1970-02",98.88968
"123",123,"1970-03",98.80975
"124",124,"1970-04",98.77168
"125",125,"1970-05",98.80037
"126",126,"1970-06",98.84418
"127",127,"1970-07",98.83215
"128",128,"1970-08",98.71606
"129",129,"1970-09",98.5685
"130",130,"1970-10",98.49575
"131",131,"1970-11",98.58228
"132",132,"1970-12",98.76039
"133",133,"1971-01",98.94635
"134",134,"1971-02",99.08487
"135",135,"1971-03",99.1858
"136",136,"1971-04",99.26763
"137",137,"1971-05",99.33859
"138",138,"1971-06",99.3968
"139",139,"1971-07",99.43359
"140",140,"1971-08",99.4494
"141",141,"1971-09",99.49132
"142",142,"1971-10",99.63329
"143",143,"1971-11",99.93031
"144",144,"1971-12",100.2726
"145",145,"1972-01",100.5102
"146",146,"1972-02",100.533
"147",147,"1972-03",100.4544
"148",148,"1972-04",100.4246
"149",149,"1972-05",100.5455
"150",150,"1972-06",100.7362
"151",151,"1972-07",100.8698
"152",152,"1972-08",100.8407
"153",153,"1972-09",100.6888
"154",154,"1972-10",100.4525
"155",155,"1972-11",100.1453
"156",156,"1972-12",99.81592
"157",157,"1973-01",99.51181
"158",158,"1973-02",99.26513
"159",159,"1973-03",99.0529
"160",160,"1973-04",98.85238
"161",161,"1973-05",98.6619
"162",162,"1973-06",98.51003
"163",163,"1973-07",98.4507
"164",164,"1973-08",98.51982
"165",165,"1973-09",98.59933
"166",166,"1973-10",98.52378
"167",167,"1973-11",98.17669
"168",168,"1973-12",97.74176
"169",169,"1974-01",97.47585
"170",170,"1974-02",97.56976
"171",171,"1974-03",97.83994
"172",172,"1974-04",98.03695
"173",173,"1974-05",97.97752
"174",174,"1974-06",97.74989
"175",175,"1974-07",97.47241
"176",176,"1974-08",97.22055
"177",177,"1974-09",97.0035
"178",178,"1974-10",96.82472
"179",179,"1974-11",96.70756
"180",180,"1974-12",96.68268
"181",181,"1975-01",96.83101
"182",182,"1975-02",97.2344
"183",183,"1975-03",97.75307
"184",184,"1975-04",98.21598
"185",185,"1975-05",98.49572
"186",186,"1975-06",98.63938
"187",187,"1975-07",98.70206
"188",188,"1975-08",98.71644
"189",189,"1975-09",98.74345
"190",190,"1975-10",98.85392
"191",191,"1975-11",99.09766
"192",192,"1975-12",99.38912
"193",193,"1976-01",99.61517
"194",194,"1976-02",99.69515
"195",195,"1976-03",99.70632
"196",196,"1976-04",99.75317
"197",197,"1976-05",99.90542
"198",198,"1976-06",100.1004
"199",199,"1976-07",100.2408
"200",200,"1976-08",100.2496
"201",201,"1976-09",100.1798
"202",202,"1976-10",100.1001
"203",203,"1976-11",100.0592
"204",204,"1976-12",100.0599
"205",205,"1977-01",100.1042
"206",206,"1977-02",100.1964
"207",207,"1977-03",100.3026
"208",208,"1977-04",100.3794
"209",209,"1977-05",100.3894
"210",210,"1977-06",100.3448
"211",211,"1977-07",100.2507
"212",212,"1977-08",100.1034
"213",213,"1977-09",99.93686
"214",214,"1977-10",99.79065
"215",215,"1977-11",99.69692
"216",216,"1977-12",99.64684
"217",217,"1978-01",99.61401
"218",218,"1978-02",99.53429
"219",219,"1978-03",99.39722
"220",220,"1978-04",99.39597
"221",221,"1978-05",99.42001
"222",222,"1978-06",99.38443
"223",223,"1978-07",99.35822
"224",224,"1978-08",99.26004
"225",225,"1978-09",99.16571
"226",226,"1978-10",98.93763
"227",227,"1978-11",98.55345
"228",228,"1978-12",98.20531
"229",229,"1979-01",98.18012
"230",230,"1979-02",98.1649
"231",231,"1979-03",97.97494
"232",232,"1979-04",97.78
"233",233,"1979-05",97.64978
"234",234,"1979-06",97.46765
"235",235,"1979-07",97.30694
"236",236,"1979-08",97.34354
"237",237,"1979-09",97.38389
"238",238,"1979-10",97.3088
"239",239,"1979-11",97.29086
"240",240,"1979-12",97.33056
"241",241,"1980-01",97.41479
"242",242,"1980-02",97.20773
"243",243,"1980-03",96.66954
"244",244,"1980-04",96.25181
"245",245,"1980-05",96.21706
"246",246,"1980-06",96.6113
"247",247,"1980-07",97.18147
"248",248,"1980-08",97.80153
"249",249,"1980-09",98.32409
"250",250,"1980-10",98.5462
"251",251,"1980-11",98.43675
"252",252,"1980-12",98.06667
"253",253,"1981-01",97.91756
"254",254,"1981-02",97.82226
"255",255,"1981-03",97.92245
"256",256,"1981-04",98.2367
"257",257,"1981-05",98.51337
